Altium Designer Pick and Place Locations
C:\Users\podonoghue\Documents\Development\usbdm-kinetis\Hardware\USBDM_Kinetis_MK22F\Project Outputs for USBDM_Kinetis_MK22F\Pick Place for USBDM_Kinetis.csv

========================================================================================================================
File Design Information:

Date:       18/10/19
Time:       21:11
Revision:   5d341cfe4b1cd6f3d2c2bdc5005f6895c2bf7d6a
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"U3","MCP1703T-3302E/CB","TopLayer","SOT23_N","310.000","-300.000","90","3V3 250mA LDO regulator"
"S1","SW_PB","TopLayer","SW-SMD-4_5.1X5.1X2","1839.000","281.000","360","Tactile Switch, Top Actuated, Surface Mount, Round Button"
"C4","100nF","TopLayer","CCNP1608-0603","197.008","-278.000","90","Capacitor SMT 0603"
"R9","100K","TopLayer","CR1608-0603","1521.370","-240.000","360","Resistor SMT 0603"
"R21","330R","TopLayer","CR1608-0603","1943.000","-234.370","360","Resistor SMT 0603"
"D2","LED Red","TopLayer","LED1608-0603-RED","1943.000","-294.370","360","LED 0603 Red (HSMS-C170, 1.25mm x 1.4mm, 20 mA, 2.1 V, 626 nm)"
"C3","4.7uF/6V","TopLayer","CCNP1608-0603","270.370","-65.000","90","Capacitor SMT 0603"
"C5","4.7uF/6V","TopLayer","CCNP1608-0603","431.008","-319.189","90","Capacitor SMT 0603"
"D1","LED Green","TopLayer","LED1608-0603-GREEN","736.000","359.000","360","LED 0603 Green (HSMG-C170  1.25mm x 1.4mm, 20 mA, 2.2 V, 572 nm)"
"R20","1K","TopLayer","CR1608-0603","1171.008","70.000","360","Resistor SMT 0603"
"R22","10K","TopLayer","CR1608-0603","1171.008","2.000","360","Resistor SMT 0603"
"C12","100nF","TopLayer","CCNP1608-0603","1655.740","-264.370","90","Capacitor SMT 0603"
"R12","10K","TopLayer","CR1608-0603","1715.740","-264.370","90","Resistor SMT 0603"
"R11","10K","TopLayer","CR1608-0603","1775.740","-264.370","90","Resistor SMT 0603"
"R8","47R","TopLayer","CR1608-0603","1521.370","-307.370","0","Resistor SMT 0603"
"U4","74LVC2T45DCT","TopLayer","SSOP8_N","1336.370","-290.370","360","Dual voltage bidirection buffer"
"U6","74LVC2T45DCT","TopLayer","SSOP8_N","1343.370","271.000","360","Dual voltage bidirection buffer"
"R16","47R","TopLayer","CR1608-0603","1549.370","201.630","0","Resistor SMT 0603"
"C13","4.7uF/6V","TopLayer","CCNP1608-0603","1835.740","-264.370","90","Capacitor SMT 0603"
"R5","330R","TopLayer","CR1608-0603","611.559","359.000","360","Resistor SMT 0603"
"J1","USB Micro-B Connector","TopLayer","MOLEX_-_47346-0001","109.008","0.000","0","USB Micro-B (MOLEX - 47346-0001)"
"C10","100nF","TopLayer","CCNP1608-0603","435.370","-65.000","90","Capacitor SMT 0603"
"C8","100nF","TopLayer","CCNP1608-0603","449.197","355.000","360","Capacitor SMT 0603"
"C6","100nF","TopLayer","CCNP1608-0603","1306.370","-195.370","360","Capacitor SMT 0603"
"C14","100nF","TopLayer","CCNP1608-0603","872.370","-309.000","90","Capacitor SMT 0603"
"C7","4.7uF/6V","TopLayer","CCNP1608-0603","449.008","291.000","360","Capacitor SMT 0603"
"C2","10uF/16V","TopLayer","CCNP2012-0805","265.370","358.000","360","Capacitor SMT 0805"
"R3","33R","TopLayer","CR1608-0603","365.370","210.000","360","Resistor SMT 0603"
"R2","33R","TopLayer","CR1608-0603","365.370","156.000","360","Resistor SMT 0603"
"P1","BDM Connector","TopLayer","BDM","1780.000","-43.941","270","HCS BDM connector (2x3 0.1")"
"R6","100K","TopLayer","CR1608-0603","1521.370","-56.370","360","Resistor SMT 0603"
"R7","47R","TopLayer","CR1608-0603","1521.370","-124.000","360","Resistor SMT 0603"
"R18","100K","TopLayer","CR1608-0603","1521.370","113.630","0","Resistor SMT 0603"
"R19","47R","TopLayer","CR1608-0603","1521.370","47.000","0","Resistor SMT 0603"
"R15","100K","TopLayer","CR1608-0603","1549.370","328.000","0","Resistor SMT 0603"
"R14","47R","TopLayer","CR1608-0603","1549.370","265.000","0","Resistor SMT 0603"
"U7","SN74LVC1T45DCKT","TopLayer","SC70_N","1341.370","77.347","360","Dual voltage bidirection buffer"
"U2","SN74LVC1T45DCKT","TopLayer","SC70_N","1341.181","-94.000","360","Dual voltage bidirection buffer"
"R1","1K","TopLayer","CR1608-0603","1019.000","358.000","360","Resistor SMT 0603"
"R4","10K","TopLayer","CR1608-0603","1144.559","162.000","360","Resistor SMT 0603"
"R17","10K","TopLayer","CR1608-0603","1144.559","234.000","360","Resistor SMT 0603"
"U5","MK22FN512VLH12","TopLayer","TSQFP50P1200X1200-64N","752.008","22.000","0","Arm Cortex M4F"
"C9","100nF","TopLayer","CCNP1608-0603","365.181","102.000","360","Capacitor SMT 0603"
"C11","100nF","TopLayer","CCNP1608-0603","1376.370","360.000","360","Capacitor SMT 0603"
"C1","100nF","TopLayer","CCNP1608-0603","1391.181","-15.000","0","Capacitor SMT 0603"
"C15","100nF","TopLayer","CCNP1608-0603","1341.370","162.630","360","Capacitor SMT 0603"
"P2","SWD-2x10 (reduced pins)","TopLayer","SWD-2X10_-_REDUCED","2102.000","0.000","90","SWD Connector 2x10-Pin (reduced pins)"
"P3","SWD2X5","TopLayer","SWD-2X5","657.008","-323.000","180","SWD Connector 2x5-Pin"
"L1","Ferrite Bead","TopLayer","FB1608-0603","265.370","278.000","360","Ferrite Bead (0603) 0.15OHM, 1A, 0603"
"L2","Ferrite Bead","TopLayer","FB1608-0603","111.370","226.000","360","Ferrite Bead (0603) 0.15OHM, 1A, 0603"
"R10","100K","TopLayer","CR1608-0603","380.370","-65.000","90","Resistor SMT 0603"
"R13","0R","TopLayer","CR1608-0603","325.370","-65.000","90","Resistor SMT 0603"
"U1","MIC2005-0.5YM6-TR","TopLayer","SOT23-6-POWER","102.008","-288.000","270","Power Switch"
"Z1","SMF05CT1G","TopLayer","SC70_N","1960.000","-80.000","360","TVS DIODE ARRAY, 100W, 5V, SC-88"
"JP1","Header 1x3 2mm","TopLayer","HEADER_1X3_(2MM)","352.370","-171.000","270","Header, 1x3, 2mm"
"C16","100nF","TopLayer","CCNP1608-0603","1014.370","234.000","360","Capacitor SMT 0603"
"R23","10K","TopLayer","CR1608-0603","883.000","359.000","360","Resistor SMT 0603"
